  
00:00:FF:FF:FF:FF,2018-10-31 16:55:20,2018-10-31 17:47:49,-1,
00:08:22:4C:4E:FC,2018-10-31 17:46:07,2018-10-31 17:46:12,-67,
00:08:22:CC:B7:20,2018-10-31 17:21:44,2018-10-31 17:21:44,-82,
00:0A:00:55:4A:E8,2018-10-31 16:53:04,2018-10-31 17:48:44,-85,
00:0A:00:5B:5D:80,2018-10-31 16:59:22,2018-10-31 16:59:22,-91,
00:0A:00:64:25:62,2018-10-31 17:20:14,2018-10-31 17:20:14,-81,
00:0A:00:67:32:18,2018-10-31 17:19:53,2018-10-31 17:19:54,-87,
00:0A:00:71:C6:10,2018-10-31 17:23:36,2018-10-31 17:24:21,-80,
00:0A:00:82:32:B8,2018-10-31 17:02:50,2018-10-31 17:03:02,-92,
00:0A:00:85:2D:4E,2018-10-31 17:48:12,2018-10-31 17:48:52,-88,
00:0A:00:88:D4:B0,2018-10-31 17:16:18,2018-10-31 17:16:18,-88,
00:0A:00:DB:30:D8,2018-10-31 17:40:09,2018-10-31 17:40:41,-82,
00:0A:00:DD:CE:B4,2018-10-31 17:31:26,2018-10-31 17:32:06,-82,
00:0A:F5:3B:38:68,2018-10-31 17:32:23,2018-10-31 17:32:57,-90,
00:0A:F5:6E:5C:1C,2018-10-31 16:58:49,2018-10-31 16:58:49,-81,
00:0A:F5:8A:A9:08,2018-10-31 17:23:16,2018-10-31 17:24:06,-87,
00:0A:F5:CE:98:E4,2018-10-31 17:48:49,2018-10-31 17:48:49,-84,
00:0C:E7:A6:AE:52,2018-10-31 16:55:52,2018-10-31 16:56:05,-76,
00:0C:E7:C0:FF:AE,2018-10-31 17:20:18,2018-10-31 17:20:18,-77,
00:0C:E7:D0:0D:ED,2018-10-31 17:05:08,2018-10-31 17:05:08,-90,
00:16:6D:31:85:71,2018-10-31 17:31:38,2018-10-31 17:31:38,-79,
00:18:60:65:28:6B,2018-10-31 17:34:36,2018-10-31 17:34:36,-73,
00:1E:AD:8F:AD:A5,2018-10-31 17:37:04,2018-10-31 17:37:32,-85,
00:25:48:04:61:F0,2018-10-31 17:34:38,2018-10-31 17:34:54,-80,
00:27:15:05:96:EB,2018-10-31 16:55:03,2018-10-31 17:04:41,-94,
00:27:15:52:54:78,2018-10-31 17:34:36,2018-10-31 17:34:36,-92,
00:27:15:60:96:A5,2018-10-31 17:32:07,2018-10-31 17:32:13,-83,
00:27:15:78:17:9B,2018-10-31 17:18:24,2018-10-31 17:18:26,-79,
00:39:20:20:40:63,2018-10-31 17:22:44,2018-10-31 17:22:59,-85,
00:90:4C:DE:01:43,2018-10-31 17:30:06,2018-10-31 17:30:06,-87,
00:DB:70:BC:09:69,2018-10-31 17:38:34,2018-10-31 17:38:46,-83,
00:E0:4C:F5:94:FF,2018-10-31 17:48:12,2018-10-31 17:48:12,-93,
00:E3:B2:86:55:84,2018-10-31 17:20:59,2018-10-31 17:21:24,-93,
00:EC:0A:45:22:AA,2018-10-31 17:36:56,2018-10-31 17:36:56,-90,
00:EC:0A:64:2F:35,2018-10-31 17:20:57,2018-10-31 17:21:01,-82,
00:EC:0A:FB:DB:C7,2018-10-31 16:53:29,2018-10-31 16:53:29,-1,
00:EE:BD:78:89:A0,2018-10-31 17:32:06,2018-10-31 17:32:06,-77,
00:F8:1C:59:B9:42,2018-10-31 16:56:40,2018-10-31 16:56:40,-87,
02:00:BD:B4:21:C7,2018-10-31 16:56:19,2018-10-31 16:56:20,-63,
02:00:DB:CE:C3:1C,2018-10-31 17:07:35,2018-10-31 17:07:35,-67,
02:02:DA:3D:EF:2F,2018-10-31 17:29:11,2018-10-31 17:29:11,-82,
02:04:CA:89:8A:7D,2018-10-31 17:17:02,2018-10-31 17:17:02,-85,
02:04:CC:6F:97:07,2018-10-31 17:04:56,2018-10-31 17:04:56,-89,
02:04:FE:55:47:A2,2018-10-31 17:29:33,2018-10-31 17:29:34,-86,
02:0A:3F:02:BF:E9,2018-10-31 17:02:27,2018-10-31 17:02:27,-85,
02:0B:88:55:38:EB,2018-10-31 16:58:44,2018-10-31 16:58:44,-64,
02:0F:FC:96:96:1D,2018-10-31 17:12:36,2018-10-31 17:12:36,-91,
02:13:C8:31:61:EC,2018-10-31 17:23:02,2018-10-31 17:23:02,-76,
02:19:09:30:A1:70,2018-10-31 17:16:49,2018-10-31 17:16:49,-79,
02:1E:8C:8B:8C:74,2018-10-31 17:28:59,2018-10-31 17:28:59,-88,
02:20:4A:90:51:F0,2018-10-31 16:54:45,2018-10-31 16:54:45,-79,
02:25:9B:BF:88:9D,2018-10-31 17:03:40,2018-10-31 17:03:40,-84,
02:26:DF:D2:6D:27,2018-10-31 17:29:43,2018-10-31 17:29:43,-81,
02:2E:9C:30:84:C8,2018-10-31 16:58:17,2018-10-31 16:58:18,-69,
02:2E:C2:F8:F9:2B,2018-10-31 17:28:18,2018-10-31 17:28:18,-79,
02:2E:DD:E8:8C:66,2018-10-31 17:07:35,2018-10-31 17:07:35,-95,
02:2F:66:32:8C:9D,2018-10-31 17:43:32,2018-10-31 17:43:32,-81,
02:2F:78:93:6A:82,2018-10-31 16:57:22,2018-10-31 16:57:22,-66,
02:30:43:EA:08:1E,2018-10-31 17:10:29,2018-10-31 17:10:29,-72,
02:31:DD:34:77:BA,2018-10-31 16:55:13,2018-10-31 16:55:13,-63,
02:35:06:20:DC:25,2018-10-31 17:09:56,2018-10-31 17:09:56,-61,
02:36:B7:A5:6A:7B,2018-10-31 17:01:29,2018-10-31 17:01:29,-84,
02:37:FB:C6:7A:73,2018-10-31 17:41:41,2018-10-31 17:41:41,-86,
02:39:6A:49:77:23,2018-10-31 16:57:26,2018-10-31 16:57:27,-73,
02:39:80:D9:48:35,2018-10-31 17:13:34,2018-10-31 17:13:34,-84,
02:43:2B:95:FE:7B,2018-10-31 16:55:18,2018-10-31 16:55:18,-89,
02:44:11:D7:2F:8B,2018-10-31 16:58:01,2018-10-31 16:58:02,-60,
02:44:7A:E0:D2:3B,2018-10-31 17:48:48,2018-10-31 17:48:48,-79,
